,Timestamp,"Кафедра, на якій ви навчалися",Рік закінчення КПІ,"Найвищий рівень освіти, що ви отримали в КПІ",Чи обрали б ви КПІ знову?,Який найвищий рівень освіти ви б порадили собі отримати,Чому ви б зробили саме такий вибір?,Що ви хотіли отримати від навчання?,Чи влаштовує вас рівень наукової діяльності в КПІ?,Чи забезпечував вас університет всім необхідним для навчання?,Чи задоволені ви спілкуванням зі своїми викладачами?,Які дисципліни виявилися для вас найбільш корисними? Чому?,Ви задоволені практикою?,Практика відповідала спеціальності?,Проходили практику на підприємстві чи на кафедрі?,Ви дійсно проходили практику чи просто написали звіт?,Чи була практика корисною для вас?,Що б ви змінили в практиці?,Коли ви почали працювати?,На якому курсі ви почали працювати?,Ви одразу працювали за спеціальністю?,"Чи подобається вам галузь, в якій ви працюєте?",Чи працюєте ви за спеціальністю?,В якій компанії ви працюєте?,Галузь компанії,Кількість працівників,На якій посаді ви працюєте?,"Чи достатньо знань та навичок, отриманих в університеті, щоб знайти роботу?","Чи були актуальними знання, отримані в університеті, на момент закінчення?",Чи вважаєте ви перспективною отриману спеціальність?,"Чи стикалися ви з ситуацією, коли наявність диплому була вирішальною для отримання роботи?",Наявність якого диплому була важливою?,"Передайте привіт студентам, випускникам та викладачам КПІ",Що б ви змінили в цьому опитуванні?
267,2017/02/28 4:27:24 PM GMT+3,Социологии,2016,Магістр або спеціаліст,"Навчатися там, де я навчався",Бакалавр,,знання для використання на роботі,Скоріше не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні",,,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Ні,,Під час навчання,4.0,Ні,Так,"Ні, працюю в іншій галузі",,Маркетинг,81-200,Менеджер з маркетингу,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому бакалавра,,
268,2017/02/28 4:31:35 PM GMT+3,ДС,2014,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,"Лучший технический ВУЗ, переезд в Киев",знання для використання на роботі;диплом - формальне підтвердження знань,Повністю влаштовує,Повністю забезпечував,Повністю задоволений,,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Важко відповісти,"Я бы хотел проходить практику там, где бы я мог после универа продолжить работать, причем так, чтобы это было не только идеей.",Під час навчання,3.0,Ні,Так,"Ні, працюю в іншій галузі",,Маркетинг,201-800,Специалист диджитал рекламы,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає",Ні,,"ФЕЛ ФЕЛ ФЕЛ всех любит!) Безумно люблю Киев и КПИ! Это школа жизни!
Всем удачи на вступительных, безусловно все те, кто выбрал данный универ, неважно какой факультет - Вы сделали правильный выбор!
Обнимаю всех!","Все круто, Вы молодцы. Соц. опросы всегда помогают выявить проблемные зоны в жизни и работе Университета. Главное, чтобы на это обращали внимание.
Кстати, можно также спросить: комфортно ли студентам учиться тут? Все ли делается для того, чтобы создать максимальный комфорт для получения знаний."
269,2017/02/28 4:32:09 PM GMT+3,Екологусної біотехнології і біоенергетики,2015,Магістр або спеціаліст,Навчатися в іншому ВНЗ,Кандидатський чи докторський ступінь,Мати порадила. Плюс красива назва спеціальності.,"знання для того, щоб займатися наукою;знання для використання на роботі;диплом - формальне підтвердження знань;відстрочку від армії",Повністю не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні",Особливо ніякі,,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Важко відповісти,"Університет має приділяти більшу увагу якості підбору місць практики для студентів. Щоб студентам було корисно, а не лише""для галочки""",Під час навчання,4.0,Ні,Важко відповісти,Не працюю,,,,,"Ні, досі не можу знайти роботу за спеціальністю","Ні, зараз немає роботи, де можна було б їх використати","Так, такі спеціалісти завжди будуть потрібні",Ні,,"Хочу порадити студентам КПІ ретельніше підходити до вибору спеціальності.
""Гучне"" ім'я - не гарантія якісної освіти.",Опитування непогане. Цікаве. Порада: треба роздруковувати його результати та розповсюджувати серед абітурієнтів. Щоб мали адекватну картину.
270,2017/02/28 4:35:58 PM GMT+3,кафедра соціології,2013,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,знання для використання на роботі,"Щось влаштовує, щось ні",Повністю забезпечував,,,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,,Під час навчання,2.0,Ні,Ні,"Ні, працюю в іншій галузі",,IT,81-200,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
271,2017/02/28 4:42:18 PM GMT+3,ЕПП,2007,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,,знання для використання на роботі;диплом - формальне підтвердження знань,Скоріше влаштовує,Частково забезпечував,Скоріше задоволений,,"Чимось задоволений, чимось ні",Так,"На кафедрі, писав диплом","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,1.0,Ні,Так,"Ні, працюю в іншій галузі",,IT,До 20,Провідний інженер-програміст,"Не знаю, не хочу працювати за спеціальністю","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає",Ні,,,
272,2017/02/28 4:46:19 PM GMT+3,ПМ,2012,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,КПІ найсильніший тех вкз,знання для використання на роботі,Скоріше не влаштовує,Повністю забезпечував,"Чимось задоволений, чимось ні","Чисельні методи, бази даних, java",,Ні,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,,Під час навчання,4.0,Так,Так,Так,Kyivstar,IT,Більше 800,Project manager,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,"Навчайтесь актуальному в універі і поза ним. Agile, java, oracle",
273,2017/02/28 4:57:52 PM GMT+3,Соціології,2012,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Кандидатський чи докторський ступінь,Кращий навчальний заклал,"знання для того, щоб займатися наукою",Повністю влаштовує,Частково забезпечував,Скоріше задоволений,Всі,Повністю задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Під час навчання,5.0,Так,Так,Так,,Адміністрація,21-80,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Так, працював саме з тим, що вивчав в університеті","Так, такі спеціалісти завжди будуть потрібні",Так,Диплому спеціаліста,,
274,2017/02/28 4:58:38 PM GMT+3,АУЕК,2016,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Бакалавр,В связи с тенденцией рынка труда сейчас и распределением финансового мира. Лучше быть предпринимателем и учиться этому как можно раньше.,знання для використання на роботі;диплом - формальне підтвердження знань,Скоріше не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні",,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Так,,Під час навчання,2.0,Ні,Так,"Ні, працюю в іншій галузі",Ромстал Украина,Будівництво,201-800,Менеджер по работе с ключевыми клиентами,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше так, але довелося вивчити деякі нові технології","Ні, потреба в спеціалістах зменшується","Наявність диплому була перевагою, але не вирішальною",Диплому бакалавра,Всем привет! Развивайтесь и будьте независимыми),
275,2017/02/28 4:58:47 PM GMT+3,ММСА,2012,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,"Крутий факультет і кафедра, що дають потужний набір знань. Особливо - на перших 3х роках навчання.","знання для того, щоб займатися наукою;знання для використання на роботі",Повністю не влаштовує,Частково забезпечував,Скоріше задоволений,Математичний аналіз та всі інші види прикладної математики. Всі види програмування. Особливо - сучасні технології програмування за своєю практичністю,,Ні,"На підприємстві, знайшов сам",Дійсно проходив практику,Ні,"Сам підхід до практики. Більше інтеграції з реальними активностями - роботою, науковою діяльністю.",Під час навчання,3.0,Так,Так,Так,Ciklum,IT,Більше 800,Бізнес-аналітик,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає",Ні,,Чуваки! Поки вчитесь - заростайте знайомствами та колом спілкування. Це насправді важливо,
276,2017/02/28 5:06:57 PM GMT+3,КМ,2015,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,Це кльово та незабутньо =),знання для використання на роботі,"Щось влаштовує, щось ні",Частково забезпечував,Скоріше задоволений,"Матан, Бази даних, Дискретка. Допомогли встати мізкам на місце","Чимось задоволений, чимось ні",Ні,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,Зробив би її реальною.,Одразу після закінчення університету,,Так,Важко відповісти,"Ні, працюю в іншій галузі",Арго,Торгівля,Більше 800,Digital-маркетолог,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає","Наявність диплому була перевагою, але не вирішальною",Диплому спеціаліста,"Вітання усій великій сім'ї КПІшників =) Маю надію, що скоро нас стане настільки багато, що ми побудуємо власну ""Зірку смерті"" і полетимо завойовувати інші галактики!","Додати до питань з предметами, питання про викладачів. Бо є дійсно гарні та сильні люди, які вплинули на весь навчальний процес і подальше життя =)"
277,2017/02/28 5:14:22 PM GMT+3,Социології,2006,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,На той час (і навіть сьогодні) кпі є одним із кращих внз в Україні.це і вплинуло на мій вибір.,знання для використання на роботі,Повністю влаштовує,Повністю забезпечував,Повністю задоволений,В принципі усі були корисні.,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Під час навчання,4.0,Так,Важко відповісти,Так,,Управління персоналом,21-80,,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні",Так,Диплому спеціаліста,Привіт!!!,
278,2017/02/28 5:24:44 PM GMT+3,СКС,2010,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,знання для використання на роботі,Скоріше влаштовує,Повністю забезпечував,Повністю задоволений,,,Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,4.0,Так,Так,Так,GlobalLogic,IT,Більше 800,Програміст,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому магістра,,
279,2017/02/28 5:28:40 PM GMT+3,АСОДУ,1995,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,знання для використання на роботі;відстрочку від армії,Скоріше влаштовує,Частково забезпечував,Скоріше задоволений,,Скоріше задоволений,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Ні,,Працював до вступу в університет,,Так,Так,"Ні, працюю в іншій галузі",,Нерухомість,До 20,,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому спеціаліста,,
280,2017/02/28 5:50:10 PM GMT+3,КіВРА,2014,,,,,,,,,,,Так,,,Так,,,,Так,Так,Так,,Наука,21-80,,,,,Так,,,
281,2017/02/28 5:51:38 PM GMT+3,Інженерна Екологія,2014,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,Еколог? Чим я думала?,знання для використання на роботі,"Щось влаштовує, щось ні",Частково забезпечував,"Чимось задоволений, чимось ні","Вишка, думати навчила!",Скоріше задоволений,Так,"На підприємстві, знайшов сам","На практиці писав диплом, як звіт здав розділ диплому",Важко відповісти,,Досі не працюю,,,,,,,,,"Ні, досі не можу знайти роботу за спеціальністю","Скоріше ні, але теоретична база актуальна","Ні, потреба в спеціалістах зменшується","Наявність диплому була перевагою, але не вирішальною",Диплому магістра,"КПІ - крутий ВНЗ! Єдине, що мене в ньому виводило із себе - ""Сплєтні КПІ"" :)","Та нічого, норм :)"
282,2017/02/28 5:56:28 PM GMT+3,Електронні прилади та пристрої,2013,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Кандидатський чи докторський ступінь,,,Скоріше не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні",,,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Під час навчання,5.0,Так,Так,Так,,IT,81-200,Інженер,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Ні, потреба в спеціалістах зменшується",Ні,,,
283,2017/02/28 6:14:21 PM GMT+3,Інформаційного права та права інтелектуальної власності,2016,Бакалавр,"Навчатися в КПІ, але за іншим напрямом",Бакалавр,,знання для використання на роботі;диплом - формальне підтвердження знань;можливість жити в гуртожитку,"Щось влаштовує, щось ні",Повністю забезпечував,Скоріше задоволений,,,Так,"На кафедрі, не писав диплом",Дійсно проходив практику,Важко відповісти,,Під час навчання,4.0,Так,Важко відповісти,Не працюю,,,,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Ні, потреба в спеціалістах зменшується",Ні,,,
284,2017/02/28 6:28:01 PM GMT+3,ММСА,2016,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,"Я б зробив саме такий вибір тому, що він надав мені багато перспектив.",знання для використання на роботі,Скоріше влаштовує,Повністю забезпечував,"Чимось задоволений, чимось ні",Бази даних,Повністю задоволений,Так,"На кафедрі, писав диплом",Дійсно проходив практику,Важко відповісти,Забезпечував би студентів практикою на підприємстві для набуття корисних навичок та досвіду роботи.,Одразу після закінчення університету,,Ні,Так,Так,,Торгівля,Більше 800,Аналітик,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому магістра,Постійно самовдосконалюватися!,
285,2017/02/28 6:42:37 PM GMT+3,Промислової електроніки,2014,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,"Тому що тут я міг здобути і здобув той рівень знань, на який сподівався","знання для того, щоб займатися наукою;знання для використання на роботі",Скоріше не влаштовує,Частково забезпечував,Повністю задоволений,"Математичний аналіз, бо він допоміг сформувати спосіб мислення, та пошук логічних відповідей на будь-які запитання.",,Так,"На кафедрі, писав диплом",Дійсно проходив практику,Важко відповісти,,Під час навчання,5.0,Ні,Так,,"ТОВ ""УНТ""",Телекомунікації,21-80,Інжерен,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше ні, але теоретична база актуальна","Ні, потреба в спеціалістах зменшується","Наявність диплому була перевагою, але не вирішальною",Диплому магістра,"Викладачі, адміністрація, та інші працівники - те що виробите - ви робите не дарма! Люди які закінчують вуз вдячні вам, хоч і не завжди про це кажуть. Я радий, що на декілька років став частиною КПІ. 
Студенти - ті що вижили в цій нелегкій боротьбі, ви кращі, бо змогли вступити в цей вуз, і досі в ньому навчаєтесь.
Випускникам - привіт :-)",Додав би кнопку важко відповісти у питання який саме диплом важливий при прийомі на роботу.
286,2017/02/28 6:55:10 PM GMT+3,ПЕ,2017,Магістр або спеціаліст,"Навчатися там, де я навчався",Кандидатський чи докторський ступінь,,знання для використання на роботі;відстрочку від армії;можливість жити в гуртожитку,Повністю не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні",,,Ні,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,5.0,Так,Так,Так,IQ Direct Inc.,IT,До 20,Інженер електронік,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
287,2017/02/28 7:22:38 PM GMT+3,Філософії,2007,Магістр або спеціаліст,"Навчатися там, де я навчався",Кандидатський чи докторський ступінь,"Уточнення: навчалася б там, де навчалася в бакалавраті. Магістратуру воліла б закінчити на ІПСА, соціальна інформатика. Також планую продовжити навчання за напрямком інформаційні системи (спеціалізація - організаційна поведінка).

Досі вважаю КПІ найсильнішим ВНЗ України, продовж 10 років після випуску будую карєру саме в ІТ-галузі, в напрямку ""управління талантами"". 100% базова освіта не раз ставала в нагоді.","знання для того, щоб займатися наукою;знання для використання на роботі",Скоріше не влаштовує,Частково забезпечував,Скоріше задоволений,"Все за наступними напрямками: статистка, математичне моделювання/прогнозування, менеджмент людських ресурсів, трудове право тощо. Це те, що стало в нагоді в роботі.",,Ні,"На підприємстві, знайшов університет",Дійсно проходив практику,Ні,"Усе:)

Моя спеціальність ""соціологія"" та ""адміністративний менеджмент"".

На момент мого навчання у факультету було прагнення ""притягнути"" ""адміністративний менеджмент"" до ""держаного управління"".. Саме тому, я так розумію, практику проходили в ЖЕКу! А там таке державне управління... 
Я от не памятаю, чи то факультет запропонував, чи ми самі таке знайшли, але факультет таку практику в державній установі затвердив, як релевантну спеціальності.
Ми там у відділі черговиків ""працювали"", клеїли картки паперові тих, хто стоїть у черзі на квартиру. Такого начиталися) З т.з. життєвого досвіду - саме те, що треба 20-річному))) 
Може щось змінилось, не знаю.",Під час навчання,4.0,Ні,Так,Так,ФОП-контракт з компанією ГлобалЛоджик Україна,IT,Більше 800,Head of Talent Acquisition (Керівник департаменту із залучення персоналу),"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні",Ні,,"Привіт передаю, радити щось дуже важко)
Світ змінюється, є стале відчуття, що вітчизняні ВНЗ за цими зминами не встигають (технології, а найголовніше, прив'язка до практики, бізнесової складової).
Всім змін на краще!","Трошки задовге.
Мені здалося, що частина питань все ж таки потребують додаткового поля ""ваш вариант""."
288,2017/02/28 7:28:06 PM GMT+3,ПФ,2014,Магістр або спеціаліст,"Навчатися там, де я навчався",Кандидатський чи докторський ступінь,Найкращий технічний ВУЗ України!,"знання для того, щоб займатися наукою;знання для використання на роботі","Щось влаштовує, щось ні",Частково забезпечував,Скоріше задоволений,"Теоретична та загальна фізика, оскільки саме ці предмети передбачають подальше заняття наукою.",Скоріше задоволений,Так,"На кафедрі, писав диплом",Дійсно проходив практику,Так,,Одразу після закінчення університету,,Так,Так,Так,Інститут теоретичної фізики ім. М.М.Боголюбова,Наука,81-200,молодший науковий співробітник,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні",Так,Диплому магістра,ФТИ - лучший!,
289,2017/02/28 7:42:33 PM GMT+3,ІБ,2015,Бакалавр,"Навчатися там, де я навчався",Бакалавр,Тому що все і так норм.,,"Щось влаштовує, щось ні",Повністю забезпечував,Скоріше задоволений,"Предмети, що стосуються програмування. Тому що працюю программістом.",Повністю задоволений,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,"Нічого, все було круто.",Під час навчання,2.0,Так,Так,Так,Luxoft,IT,Більше 800,Middle C++ Developer,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає",Ні,,Користуюсь нагодою і передаю привіт мамі.,
290,2017/02/28 8:08:20 PM GMT+3,Кафедра лазерної техніки та фізико-технічних технологій,2015,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Кандидатський чи докторський ступінь,"Я зробила так, бо КПІ один з найкращих вузів України","знання для того, щоб займатися наукою;знання для використання на роботі",Скоріше не влаштовує,Частково забезпечував,Скоріше задоволений,,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов університет","На практиці писав диплом, як звіт здав розділ диплому",Ні,В  навчальній практиці змінила б можливісьть вибирати керівника практики,Одразу після закінчення університету,,Так,Так,Так,"ПАО ""КЦКБА""",Виробництво,201-800,Інженер-конструктор,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Ні, потреба в спеціалістах зменшується",Так,Диплому магістра,,
291,2017/02/28 8:47:14 PM GMT+3,Філософії,2013,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,"1. Жодного разу не вимагали хабарів.
2. Багатогранне студентське життя, гуртки на будь-який смак - можливість здобути досвід у сферах, не пов'язаних зі спеціальністю. 
3. Щоб виходити на стипендію не потрібно докладати якихось надлюдських зусиль, - достатньо просто ""дружити з головою"".
4. Гіганський кампус.
5. Згуртована студентська громада.",знання для використання на роботі;диплом - формальне підтвердження знань,"Щось влаштовує, щось ні",Частково забезпечував,Повністю задоволений,"Для загального розвитку: діалектична логіка. Вчить ""дружити з головою"", знаходити закономірності у всьому; впорядковує ""хаос фактів"" в голові, створений іншими теоретичними дисциплінами. 
Для роботи - прикладні: мат.статистика, прогнозування, методи та технології соц. досліджень.",,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Ні,"Найкраща практика - безпосередня трудова діяльність, а не ""принеси-подай"" стажування, на які зазвичай відправляють студентів. 
Якщо людина працює за спеціальністю вже під час навчання, є вірогідність того, що вона на практиці випробовуватиме теорії, котрі вимальовував лектор на дошці.",Одразу після закінчення університету,,Так,Так,Так,"ТОВ ""Такеда Україна""",Торгівля,201-800,Аналітик фармацевтичного ринку,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
292,2017/02/28 8:49:52 PM GMT+3,ПЗКС,2014,Магістр або спеціаліст,"Навчатися там, де я навчався",Кандидатський чи докторський ступінь,,"знання для того, щоб займатися наукою;знання для використання на роботі","Щось влаштовує, щось ні",Частково забезпечував,Повністю задоволений,,Повністю задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Під час навчання,2.0,Так,Так,Так,Cisco,IT,81-200,Sysadmin,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає",Так,Диплому спеціаліста,"привіт студентам, випускникам та викладачам КПІ",
293,2017/02/28 8:54:56 PM GMT+3,ПЗКС,2016,Бакалавр,"Навчатися там, де я навчався",Магістр або спеціаліст,"""Менше зло""",знання для використання на роботі;відстрочку від армії,Скоріше не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні","Трохи більше половини дисциплін по програмуванню, а саме ті, які викладались людьми, які працюють або працювали в сфері.
ООП, основи програмування, бази даних, архітектура програмного забезпечення.",,Ні,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,4.0,Так,Так,Так,,IT,201-800,Веб-програміст,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні",Ні,,,"Додав би кнопку ""Назад""."
294,2017/02/28 8:59:41 PM GMT+3,ФіБМЕ,2011,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Бакалавр,Входить до найкращих ВУЗів України,"знання для того, щоб займатися наукою;знання для використання на роботі",Скоріше не влаштовує,Частково забезпечував,Скоріше задоволений,більшість дисциплін по спеціальності.,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,,Під час навчання,4.0,Так,Так,Так,,Наука,81-200,науковий співробітник,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, потреба в спеціалістах зростає",Ні,,,
295,2017/02/28 9:05:45 PM GMT+3,Мікро- та наноелектроніки,2016,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Бакалавр,Ком'юніті сприятливе для розвитку.,,Скоріше не влаштовує,Повністю забезпечував,Скоріше задоволений,,"Чимось задоволений, чимось ні",Ні,"На кафедрі, писав диплом","На практиці писав диплом, як звіт здав розділ диплому",Ні,Немає що змінювати. Потрбно для початку нормально організувати її.,Одразу після закінчення університету,,Ні,Так,"Ні, працюю в іншій галузі",,IT,21-80,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Ні, вже зараз майже неможливо знайти роботу",Ні,,Study hard!,
296,2017/02/28 9:12:08 PM GMT+3,Мпмрп,2016,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,"Живи, люби , КПИ",знання для використання на роботі;диплом - формальне підтвердження знань;можливість жити в гуртожитку,Скоріше не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні",Фмопд мопд,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,,Під час навчання,6.0,Ні,Так,"Ні, працюю в іншій галузі",,Дизайн,До 20,,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Ні, вже зараз майже неможливо знайти роботу",Ні,,Привіт)),
297,2017/02/28 9:15:57 PM GMT+3,адміністративний менеджмент,2009,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,"Бажаю нових знань, які можна практично використовувати в житті",знання для використання на роботі,Скоріше влаштовує,Частково забезпечував,Скоріше задоволений,,,Ні,"На кафедрі, не писав диплом","Не проходив практику, в кінці написав звіт",Ні,"Практика має бути ПРАКТИЧНОЮ, а не для галочки",Одразу після закінчення університету,,Ні,Ні,Так,,Адміністрація,81-200,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому магістра,,
