,Отметка времени,Чому ви обрали саме КПІ?,Чи відповідає дійсність очікуванням,Ви одразу вступили до КПІ чи перевилися з іншого ВНЗ?,На якому курсі це відбулося?,Що ви хочете отримати від навчання?,Чи обрали б ви КПІ знову?,Чи задоволені ви спілкуванням з іншими студентами?,Чи задоволені ви спілкуванням зі своїми викладачами?,Чи влаштовує вас рівень наукової діяльності в КПІ?,Чи забезпечує вас університет всім необхідним для навчання?,Чого саме не вистачає?,У вас була виробнича/переддипломна практика,Ви задоволені практикою?,Практика відповідала спеціальності?,Проходили практику на підприємстві чи на кафедрі?,Ви дійсно проходили практику чи просто написали звіт?,Чи була практика корисною для вас?,Що б ви змінили в практиці?,Чи плануєте ви працювати за спеціальністю?,Чи працюєте/працювали ви під час навчання?,На якому курсі ви почали працювати?,В якій компанії ви працюєте?,Галузь компанії:,Кількість працівників:,На якій посаді ви працюєте?,"Передайте привіт студентам, випускникам та викладачам КПІ",Щоб ви змінили в цьому опитуванні?
1077,28.02.2017 8:28:44,Сам собі ставлю це запитання вже 5й рік,ні,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,"Чимось задоволений, чимось ні","Мені байдуже, не цікавлюся науковою діяльністю",Не забезпечує,"Пам'ятаю як під час вступу на дні відкритих дверей, зав декану заявив, що для навчання в КПІ нічого окрім студента не потрібно. Брехня. Я вже не кажу про те, що треба брати свої ноути, бо в мене в бабусі смартфон швидший за компи в аудиторії, так в корпусі взимку завжди холодно, кондиціонери не включають, в аудиторіях робочі місця років на 20 старші за мене, з приводу вай фай стало трохи краще, а перші 3 курси це було як ""не нужон нам ваш интырнет"". Туалет у 18му корпусі - просто заходиш туди и починаєш плакати, бо той сморід ріже очі. Якось на першому курсі питав як пройти до аудиторії - так дівчина мені відповіла ""отуди прямо, а далі по запаху і направо"". За те, що в деканаті їх ручкою розпишешся можуть просто вбити тією ж ручкою одразу як ти її повернеш, бо ""то ручка для заяв. Ви шо, не студент? У вас нема ручки?"" За папірець А4 почув про себе багато несподіваного.",Так,Повністю задоволений,Так,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Так,,Так,"Так, за спеціальністю",4.0,,IT,До 20,,,
1078,28.02.2017 8:28:45,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Скоріше задоволений,Повністю влаштовує,Частково забезпечує,,Ні,,,,,,,Важко відповісти,"Так, не за спеціальністю",3.0,,Маркетинг,81-200,,,
1079,28.02.2017 8:29:21,"Склав ЗНО, побачив бали - зрозумів що треба вступати до нормального ВНЗ. 
Обрав КПІ, тому що прагнув бути студентом ВНЗ №1!","Насправді, я не думав що буде місцями настільки складно, що буде так багато тиску.
Абсолютна більшість викладачів - професіонали своєї справи! Але більшість з них занадто добрі! Я прихильник жорсткішого контролю за списуванням! Це заважає вчитися іншим, і дає незаслужені бали списувальникам!",Одразу вступив до КПІ,,Інше,"Навчатися там, де я зараз навчаюся",Скоріше незадоволений,Скоріше задоволений,Важко відповісти,Повністю забезпечує,,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі",Ні,,,,,,Викладачам: Менше тисніть на студентів і більше контролюйте списувальників.,"Я хочу щоб викладачі слідкували за списуванням, плагіатом та менше тиснули на студентів!"
1080,28.02.2017 8:30:13,Тому що КПІ найпрестижніший ВНЗ в країні.,Не в повній мірі.,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Скоріше задоволений,"Чимось задоволений, чимось ні",Скоріше не влаштовує,Не забезпечує,"Немає банальных засобів гігієни, розбиті парти та стільці,  застаріле лабораторне обладнання.",Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, за спеціальністю",4.0,,Телекомунікації,До 20,,"Є куди рости. 
Живи. Люби. КПІ",
1081,28.02.2017 8:32:48,"Один з найкращих вузів України, наявність бажаної спеціальності",,Перевівся з іншого ВНЗ,1.0,"Знання для того, щоб займатися наукою","Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,"медичного обладнання, яке можна було б бачити на власні очі і бачити його зсередини",Так,"Чимось задоволений, чимось ні",Так,"На кафедрі, писав диплом","Не проходив практику, в кінці написав звіт",Ні,"або відмінити практику на захисті якої знущаються як при захисті дипломної роботи, або більш адекватне ставлення до студентів на захисті практики","Ні, але планую працювати в тій самій галузі",Ні,,,,,,,
1082,28.02.2017 8:41:11,Хочу получить техническое обращование,Вполне,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,"Есть идея создания бренда КПИ. Все равно все покупают тетради, ручки , рюкзаки и так далее. А можно было бы как и в зарубежных вузах создать свое",Ні,,,,,,,Так,Ні,,,,,,,"Опрос по надобности предметов. В американский школах у студентов есть обязательные и выборочные предметы. Аналогично можно сделать и здесь. Предметы типо АОС и ему подобные давно уже не актуальны, вместо них можно ввести доп курс по финансам или программированию, или инженерии, а не учить этот бред)"
1083,28.02.2017 8:42:56,Мечтал учиться тут,Нет,Перевівся з іншого ВНЗ,2.0,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,Лицензированных программ,Ні,,,,,,,Важко відповісти,Ні,,,,,,,
1084,28.02.2017 8:50:49,"При вступі була в захваті атмосферею студмістечка, статусом КПІ як найкращого ВУЗу в країні, чудовим розташуванням корпусів та гуртожитків, був  мені трішки схожий на Хогвардс)","Не зовсім. Відсотків 20 викладачів виправдали мої очікування. Дуже багато ""совка""",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Не забезпечує,"Комп'ютерні класи, застаріле обладнання, рівень життя в гуртожитку",Так,Важко відповісти,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Ні,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",1.0,Зараз не працюю,Сфера обслуговування,201-800,,"Хочу передати привіт самій собі та побажати сили та терпіння закінчити цей клятий семест, практику та з легкістю захистити диплом. І гуд бай май діар юніверсіті.",
1085,28.02.2017 8:51:12,,,Одразу вступив до КПІ,,Знання для використання на роботі,Навчатися в іншому ВНЗ,"Чимось задоволений, чимось ні","Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Повністю забезпечує,,Так,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Важко відповісти,,Ні,Ні,,,,,,,
1086,28.02.2017 8:53:36,,,Одразу вступив до КПІ,,Знання для використання на роботі,Навчатися в іншому ВНЗ,"Чимось задоволений, чимось ні","Чимось задоволений, чимось ні","Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,,Так,Скоріше задоволений,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Важко відповісти,,Важко відповісти,"Так, не за спеціальністю",3.0,,Сфера обслуговування,До 20,,,
1087,28.02.2017 8:57:16,"Є факультет, якого немає в моєму місті",,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,Важко відповісти,Скоріше задоволений,Скоріше задоволений,Скоріше влаштовує,Повністю забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
1088,28.02.2017 8:59:22,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком","Чимось задоволений, чимось ні","Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Частково забезпечує,,Так,,Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Важко відповісти,,Важко відповісти,Ні,,,,,,,
1089,28.02.2017 9:00:16,Лучший технический универ этой дырявой страны,Нет,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні",Скоріше не влаштовує,Частково забезпечує,Тру лабараиорий,Так,"Чимось задоволений, чимось ні",Ні,"На підприємстві, знайшов університет",Дійсно проходив практику,Важко відповісти,"Поменял бы ноу нейм компании, на действительно толковые","Ні, але планую працювати в тій самій галузі","Так, за спеціальністю",3.0,,Виробництво,До 20,,"Каким бы КПИ не был несовершенным, он все равно лучше чем Шева",
1090,28.02.2017 9:01:38,,ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком","Чимось задоволений, чимось ні","Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Не забезпечує,"Всього, в аудиторіях холодно, а в травні спекотно, обладнання ще з 60-тих років, як і навчальна програма, проекторів мало, корпус страшний (на стінах сиплеться штукатурка, туалети брудні і не завжди працюючі), парти то взагалі щось унікальне, кажуть що за тими партами ще Мєндєлєєв просижував і СІКОРСЬКИЙ якось навіть разок, поки не втік. В деканат страшно зайти, бо там сидять три гаргульї, які на будь-яке запитання плещуть отрутою, бо в них, бачите, роботи нєвправарот. 

Такі діла малята.",Так,,Ні,"На кафедрі, не писав диплом",Дійсно проходив практику,Ні,,Ні,"Так, не за спеціальністю",4.0,,Торгівля,Більше 800,,,
1091,28.02.2017 9:05:22,мама сказала,50/50,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся","Чимось задоволений, чимось ні","Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Частково забезпечує,,Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,,IT,Більше 800,,,
1092,28.02.2017 9:06:28,,"Ні не відповідає. Десь 20-30% викладачів не знають дисципліну, яку викладають. Ще десь 40% відсотків розуміють дисципліну, але не вміють або не хочуть донести матеріал та зацікавити. І тільки 30-40% викладачів вміють гарно пояснити та зацікавити у вивченні предмету.",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою",Навчатися в іншому ВНЗ,Скоріше задоволений,"Чимось задоволений, чимось ні",Скоріше не влаштовує,Частково забезпечує,"Для практичних занять із робототехніки чи електроніки не вистачає власне роботів, їхніх компонентів та машин для побудови цих компонентів.",Так,"Чимось задоволений, чимось ні",Так,"На кафедрі, писав диплом","Не проходив практику, в кінці написав звіт",Важко відповісти,,"Ні, але планую працювати в тій самій галузі","Так, за спеціальністю",5.0,,IT,81-200,,,
1093,28.02.2017 9:08:12,,,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,Навчатися в іншому ВНЗ,"Чимось задоволений, чимось ні",Скоріше задоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Не забезпечує,Грошей мені не вистачає навіть на прожиття. Про яке навчання ми говоримо?,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",1.0,,Торгівля,21-80,,,
1094,28.02.2017 9:23:43,,,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,Навчатися в іншому ВНЗ,Скоріше задоволений,Скоріше незадоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,,Ні,,,,,,,Важко відповісти,Ні,,,,,,,
1095,28.02.2017 9:24:19,"для мене кпі був в деякій мірі, мрією, я думала, що тут будуть навчати не методом батога та пряника, а саме зможуть зацікавити, направити наші здібності у правильне русло, але нажаль ""совкова"" традиція і тут себе ще не вижила, тому від болонської системи тут тільки назва, і більше нічого, але в кінці кінців, все рівно, в інших внз, такого ж технічного спрямування, ще гірше","ввикладачі в більшості своїй теоретики і самі не розуміють, чому навчають, якщо і трапляються такі, що працювали на заводі чи в кб і знають, що та як, то таких одииниці",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,Скоріше влаштовує,Не забезпечує,"наприклад, теплі аудиторії",Ні,,,,,,,Так,"Так, не за спеціальністю",2.0,"не працюю, працювала раніше",Адміністрація,До 20,адміністратор,"в кпі, мені здається, головним, що приваблює студентів - це, якщо так можна казати ""душа"".
Так чи інакше, це не такий вже поганий внз, хоча звісно є що покращувати, але маючи можливість провести молоді роки, навчаючись в кпі, я не шкодую, що саме сюди вступила",нічого
1096,28.02.2017 9:25:15,"Вирішила піти по хард рівню, живемо один раз!","Так, я дуже задоволена викладачами й предметами",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,Теплих аудиторій,Ні,,,,,,,Так,Ні,,,,,,,
1097,28.02.2017 9:25:20,Бо КПИ це крутый вуз),так відповыдає,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Повністю задоволений,Повністю влаштовує,Частково забезпечує,норм общаги,Так,Повністю задоволений,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,,Ні,Ні,,,,,,Привіт всім ІФФшникам),все ок
1098,28.02.2017 9:35:11,Найкращий технічний ВНЗ України. + Тут буває весело,"Ні, очікував набагато більшого. Закінчую з вірою, що набуті навички та знання (яких не так вже й багато) хоч чимось допоможуть мені у житті.",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні",Скоріше не влаштовує,Частково забезпечує,"Тепла в аудиторіях )
А загалом матеріальна база (особливо прилади для лабораторних робіт, комп'ютери ) застаріла і вже давно.",Ні,,,,,,,Важко відповісти,"Так, не за спеціальністю",1.0,,Сфера обслуговування,До 20,Промоутер,"Привіт, щастя, здоров'ячка.","Варіант, жодне з вище сказаного, при оцінці викладачів.
З предметів, що базуються на елементарних історичних знаннях прибрав питання ""на скільки актуальною була інформація"", замінив на якусь оцінку отриманих знань і легкість засвоєння (нап. було не важко, я дізнався багато нового). Скільки б не нили про те, що ці предмети неповинні бути в КПІ, але вони є і їх головна ціль базові знання. Оцінити їх можна тільки за результатом. 
Та й взагалі тест не універсальний і багато дисциплін під нього не підходять. 
Дякую, що дочитав(ла). Спасибі, що цікавитесь думкою КПІшників, старайтеся й далі :)"
1099,28.02.2017 9:37:43,Кращий технічний ВНЗ і т д і т п,Ні,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,"Чимось задоволений, чимось ні","Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,Теплих і чистих аудиторій,Ні,,,,,,,Так,"Так, за спеціальністю",1.0,,IT,81-200,Розробник,Привіт мамі,
1100,28.02.2017 9:38:51,,Ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні",Повністю не влаштовує,Частково забезпечує,Води в корпусі,Так,,Ні,"На кафедрі, не писав диплом","Не проходив практику, в кінці написав звіт",Ні,Відмінити,Так,"Так, за спеціальністю",5.0,Globallogic,IT,Більше 800,Developer,Hallo!,Зменшити кількість питань.
1101,28.02.2017 9:40:35,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,,Ні,,,,,,,Важко відповісти,"Так, не за спеціальністю",3.0,,IT,21-80,,,
1102,28.02.2017 9:47:16,Хотів навчатись в найкращому університеті України,Не дуже,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Повністю влаштовує,Частково забезпечує,Краще обладнанних аудиторій,Ні,,,,,,,Так,"Так, за спеціальністю",1.0,,IT,До 20,,,
1103,28.02.2017 9:53:42,Друг пошел и я пошел,не совсем,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Повністю задоволений,"Щось влаштовує, щось ні",Частково забезпечує,Способности преподавателей заинтересовать в преподаваемом ими материале,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",4.0,,IT,До 20,Програмист,Хочу передать привет...,
1104,28.02.2017 9:55:10,,"Ні, знання часто застарілі, вимоги не завжди адекватні",Одразу вступив до КПІ,,Знання для використання на роботі,Важко відповісти,Скоріше задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Частково забезпечує,Wi-Fi,Ні,,,,,,,Так,Ні,,,,,,"Передаю привіт студентам, випускникам та викладачам КПІ",
1105,28.02.2017 9:55:44,"Студенты, Поляна, Радиодей, Маяк","Да. Ожидал, что от университета мало будет толка, так оно и есть",Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Не забезпечує,,Ні,,,,,,,Важко відповісти,"Так, не за спеціальністю",1.0,,Логістика,21-80,,"Студентам:
Вуз вас ничего не научит. Не нужно на него рассчитывать.
Преподавателям:
Относитесь лояльный к посещением, перестаньте жить в Советском союзе",Возможность пропускать ответы. Возможность писать свои варианты. Некоторые ответы не подходят.
1106,28.02.2017 9:57:14,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,Повністю влаштовує,Повністю забезпечує,,Так,Повністю задоволений,Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Так,,Так,"Так, за спеціальністю",5.0,Boteon,IT,81-200,Викладач,,
1107,28.02.2017 9:57:44,,,Одразу вступив до КПІ,,Знання для використання на роботі,Важко відповісти,Повністю задоволений,Скоріше задоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,,Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,,Сфера обслуговування,21-80,,,
1108,28.02.2017 10:00:16,,ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні",Важко відповісти,Частково забезпечує,"коректних методичок,можливо якихось навчальніх посібників",Ні,,,,,,,Важко відповісти,"Так, не за спеціальністю",1.0,,Сфера обслуговування,До 20,Інструктор,,
1109,28.02.2017 10:08:14,"це найкраший універ. тут своє студмістечко, високий рівень освіти, КПІ да
 багато нових можливостей",деякі викладачі не зовсім компетентні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,"нормальних кабінетів для проведення лабораторних робіт та хоча б робочих лабораторних стендів, і холодно в корпусі",Так,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Ні,,Важко відповісти,"Так, не за спеціальністю",2.0,,Сфера обслуговування,21-80,,"Я дуже задоволена, що навчаюсь саме в КПІ, для викладачів хочу сказати велике ДЯКУЮ, що вкладаєте в кожного з нас простих смертних(студентів) частинку себе, передаєте знання. ну а для підростаючого покоління хочу сказати, щоб обов'язково поступали саме в цей університет і на ІЕЕ. адже КПІ це ніби забіг на коротку дистанцію з перешкодами, якщо доходиш до фінішу то перед тобою відкриваються будь які двері в великий дорослий світ.",
1110,28.02.2017 10:12:38,Мріяла стати програмістом,"Ні. Програми застарілі, викладачі погано знають свій предмет, не шанобливо ставляться до студентів.",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком","Чимось задоволений, чимось ні","Чимось задоволений, чимось ні","Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,"Ремонт корпусу, його опалення та його ресурсне забезпечення",Ні,,,,,,,Ні,"Так, не за спеціальністю",3.0,,Сфера обслуговування,21-80,,,"На сайті не правильно поставлені питання про роботу:можливо, людина ще не працює"
1111,28.02.2017 10:17:01,,Не дуже,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою",Важко відповісти,Повністю задоволений,Повністю задоволений,"Щось влаштовує, щось ні",Частково забезпечує,,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",3.0,,Торгівля,21-80,,Удачі всім :),
1112,28.02.2017 10:23:06,Найкращий технічний вуз в Україні.,"Загалом так, але певні розчарування все одно присутні.",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся","Чимось задоволений, чимось ні",Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,Нормального ремонту в корпусі і теплих аудиторій.,Ні,,,,,,,Так,Ні,,,,,,,
1113,28.02.2017 10:24:38,Тому що вважав КПІ найкращим для обраної спеціальності. І від дому не далеко.,Ні.,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,"Не вистачає сучасного ""заліза"", багато теоріх залишається лише теорією без можливості практично ознайомитись з предметом вивчення в рамках університету.",Так,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,"Ні, але планую працювати в тій самій галузі",Ні,,,,,,,Необхідний ширший вибір характеристик для викладачів.
1114,28.02.2017 10:27:03,"Вважала та вважаю його найкращим ВНЗ України, не звертаючи увагу на всі його недоліки. Я мріяла бути студенткою КПІ!","У більшості випадків мене не задовільняє організація навчального процесу ( це стосується викладачів похилого віку, які не намагаються викладати щось нове і сучасне, а читають лекціїї по книжкам 1960 років). А от молоді та ініціативні викладачі заохочують до вивчення нового, сучасного, саме  те, що нам знадобиться у майбутньому!",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Повністю задоволений,Скоріше влаштовує,Повністю забезпечує,,Так,Важко відповісти,Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,,Так,"Так, не за спеціальністю",3.0,,Спорт,21-80,тренер,,
1115,28.02.2017 10:28:26,,"Не завжди, але в цілому так",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,Обладнання та реактиви до лабораторій,Так,Повністю задоволений,Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",4.0,,Сфера обслуговування,81-200,,,
1116,28.02.2017 10:30:39,"Сподіваюсь здобути тут знання, які допоможуть в майбутньому знайти добре оплачувану роботу.","Я не очікувала чогось надзвичайного, тому швидше за все - так.",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Скоріше задоволений,"Чимось задоволений, чимось ні",Скоріше влаштовує,Повністю забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,"Дещо змінити в питанні про риси характеру викладачів і дати або більше варіантів відповіді, або більш загальні варіанти, бо до деяких викладачів не підходить жодна з рис."
1117,28.02.2017 10:34:32,Попався на рекламу,частково,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні","Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,,Так,Скоріше задоволений,Так,"На кафедрі, не писав диплом",Дійсно проходив практику,Так,,Ні,Ні,,,,,,"Займайтесь мрією, а не наукою, а якщо наука - ваша мрія, ще краще:)
І вчіть Інгліш, скіл що точно потрібен у будь-якій галузі.","В оцінці викладачів не вистачає пункту ""байдужий до предмету і студентів"""
1118,28.02.2017 10:36:07,"Вважаю, цей університет найкращім в Україні для отримання ґрунтовних, базових знань.","Так, повністю.",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Скоріше влаштовує,Повністю забезпечує,,Ні,,,,,,,Важко відповісти,Ні,,,,,,Бажаю всім успіхів в усіх їх справах.,Все добре.
1119,28.02.2017 10:42:33,так вирішило серце,"деякі викладачі просто жахливі. на лекціях засинаєш, як би не старався слухати.",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Не забезпечує,"Сучасних (хоча б відносно) комп'ютерів, теплих аудиторій,  відповідного обладнання у лабараторіях",Ні,,,,,,,Так,Ні,,,,,,,можливість ставити оцінки викладачам
1120,28.02.2017 10:46:11,,,Одразу вступив до КПІ,,Відстрочку від армії,Навчатися в іншому ВНЗ,Скоріше незадоволений,Повністю задоволений,Повністю влаштовує,Повністю забезпечує,,Так,Повністю задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Так,"Так, за спеціальністю",1.0,,IT,До 20,,,
1121,28.02.2017 10:49:41,:),да,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Частково забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
1122,28.02.2017 10:51:11,Бо хочу самореалізувати себе добре.,Так.,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Повністю задоволений,Повністю влаштовує,Частково забезпечує,"Теплі аудиторії, влаштовані лабораторні аудиторії.",Ні,,,,,,,"Ні, але планую працювати в тій самій галузі",Ні,,,,,,,
1123,28.02.2017 10:52:04,"Хочу здобути якісну технічну освіту, активне студентське життя",Так,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,Важко відповісти,Частково забезпечує,"Оригінал на символіка, парти в деяких аудиторіях, кондиціорени та обігрівачі",Ні,,,,,,,Так,Ні,,,,,,,
1124,28.02.2017 10:53:30,Мріяв навчатися тут з дитячого садку...,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Повністю забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
1125,28.02.2017 10:55:35,Наследственный КПИшник в третьем поколении,Конечно же нет.,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Не забезпечує,"Теплых аудиторий, нормальных санузлов, приемлемых для студентов мест питания, нормальных общежитий, работающих лабораторий",Ні,,,,,,,Ні,"Так, не за спеціальністю",2.0,KievAccommodation,Нерухомість,21-80,"Администратор, менеджер по бронированию","Привет всей редакции #КПИдень, бессменному наставнику Саше Ондреяшу, студсовету студгородка КПИ, и Васе Нипорке. Хочу также передать ""здрасте"" преподам ИТСа, которые так и не смогли меня отчислить: Федоровой, Карнауху и Якорю. Хочу сказать спасибо преподам ФЭЛа кафедры ФБМЭ: Витязю Олегу Алексеевичу за то, что обучил меня теории цепей, Прокопенко Юрию Васильевичу и Шовкун Ирине Денисовне за то, что они просто хорошие и позитивные люди. Наверное, только благодаря им я остался в этом гребанном политехе.",Выбор цветов - фиолетовый и зеленый вместе выглядят очень наляписто
