На якому факультеті КПІ ви викладаєте?,На скількох факультетах ви викладаєте на постійній основі?,Які дисципліни ви викладаєте?,Кількість ваших пар на тиждень в попередньому семестрі,Чи працюєте ви ще десь крім викладання в КПІ? (неоплачувана робота теж рахується),"Чи задоволені ви навчальними планами та іншими рекомендаціями від Міністерства освіти для дисциплін, які викладаєте?","Чи влаштовує вас рівень бюрократії, з яким ви стикаєтеся під час роботи?",Що ваші студенти хочуть отримати від навчання?,"Кількість дисциплін, які ви викладали в попередньому семестрі",faculty_id,"Чи забезпечує вас кафедра (факультет), де ви працюєте, всім необхідним для роботи? ",Чи влаштовує вас рівень наукової діяльності в межах КПІ?,На якій кафедрі ви працюєте?,Як часто ви готуєтеся до проведення навчальних занять?,Чи задоволені ви роботою в КПІ?,"Як ви підвищуєте знання з дисциплін, які викладаєте?",Чи задоволені ви спілкуванням зі своїми студентами?,Скільки років ви викладаєте?
2,1,спеціальні дисципліни,до 13,Ні,Не задоволений,Не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі",6 і більше,2,Не забезпечує,Не влаштовує,СП,Інколи,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Читаю фахові видання",Повністю задоволений,2
2,1,спеціальні дисципліни,до 13,Ні,Не задоволений,Не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі",6 і більше,2,Не забезпечує,Не влаштовує,СП,Інколи,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Читаю фахові видання",Повністю задоволений,2
5,1,спеціальні дисципліни,17 і більше,"Так, це має відношення до дисциплін, які я викладаю",Повністю не задоволений,Повністю не влаштовує,можливість жити в гуртожитку,2-3,5,Не забезпечує,Повністю не влаштовує,Геобудівництва,Завжди,Повністю не задоволений,"Доповідаю на семінарах, тренінгах та онлайн-курсах",Повністю не задоволений,20
5,1,спеціальні дисципліни,до 4,Ні,Повністю не задоволений,Повністю влаштовує,можливість жити в гуртожитку,2-3,5,Не забезпечує,Мені байдуже,ІЕ,Не готуюся,Повністю не задоволений,Не вдосконалюю рівень своїх знань,Повністю не задоволений,6
4,1,дисципліни гуманітарного циклу,до 4,Ні,Не задоволений,Складно відповісти,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,4,Частково забезпечує,Влаштовує,,Завжди,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,13
14,2-3,спеціальні дисципліни,до 7,Ні,Повністю задоволений,Повністю влаштовує,можливість жити в гуртожитку,2-3,14,Повністю забезпечує,Повністю влаштовує,ПСКЛА,Не готуюся,Повністю задоволений,Не вдосконалюю рівень своїх знань,Повністю не задоволений,23
15,1,спеціальні дисципліни,до 13,Ні,Задоволений,Не влаштовує,знання для використання на роботі,2-3,15,Складно відповісти,Складно відповісти,БМ,Завжди,Задоволений,Пишу статі та інші матеріали,Складно відповісти,3
6,1,спеціальні дисципліни,до 13,Ні,Складно відповісти,Не влаштовує,диплом - формальне підтвердження знань,4-5,6,Складно відповісти,Влаштовує,,Завжди,Складно відповісти,"Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Складно відповісти,1
15,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Влаштовує,знання для використання на роботі,1,15,Повністю забезпечує,Повністю влаштовує,,Завжди,Повністю задоволений,Працюю в цій галузі,Повністю задоволений,1
22,1,базові дисципліни молодших курсів,до 7,"Так, це має відношення до дисциплін, які я викладаю",Задоволений,Не стикався з бюрократією під час роботи,знання для використання на роботі,1,22,Повністю забезпечує,Влаштовує,,Завжди,Задоволений,Працюю в цій галузі,Задоволений,5
18,1,базові дисципліни молодших курсів,до 7,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,18,Частково забезпечує,Складно відповісти,ААЕ,Завжди,Задоволений,Пишу статі та інші матеріали,Задоволений,11
17,2-3,спеціальні дисципліни,до 13,"Так, але це не має відношення до дисциплін, які я викладаю",Складно відповісти,Складно відповісти,"диплом - формальне підтвердження знань, відсрочку від армії",2-3,17,Частково забезпечує,Складно відповісти,Ем,Інколи,Складно відповісти,"Доповідаю на семінарах, тренінгах та онлайн-курсах",Повністю не задоволений,4
17,2-3,спеціальні дисципліни,до 13,"Так, але це не має відношення до дисциплін, які я викладаю",Складно відповісти,Складно відповісти,"диплом - формальне підтвердження знань, відсрочку від армії",2-3,17,Частково забезпечує,Складно відповісти,Ем,Інколи,Складно відповісти,"Доповідаю на семінарах, тренінгах та онлайн-курсах",Повністю не задоволений,4
5,2-3,базові дисципліни молодших курсів,до 7,Ні,Повністю не задоволений,Повністю не влаштовує,відсрочку від армії,1,5,Не забезпечує,Повністю не влаштовує,ие,Завжди,Не задоволений,"Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,5
25,викладаю майже на всіх факультетах,"базові дисципліни молодших курсів, спеціальні дисципліни",до 17,"Так, але це не має відношення до дисциплін, які я викладаю",Повністю не задоволений,Не стикався з бюрократією під час роботи,"диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",4-5,25,Частково забезпечує,Не влаштовує,ОТ,Не готуюся,Повністю не задоволений,Пишу статі та інші матеріали,Задоволений,10
22,4-5,дисципліни гуманітарного циклу,до 7,Ні,Повністю не задоволений,Складно відповісти,дуже залежить від спеціальності,2-3,22,Частково забезпечує,Влаштовує,ІСТ,Завжди,Повністю задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,5
6,2-3,"базові дисципліни молодших курсів, спеціальні дисципліни",до 7,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Складно відповісти,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,6,Повністю забезпечує,Складно відповісти,МП,Часто,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,3
21,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 7,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",4-5,21,Частково забезпечує,Складно відповісти,ММЕС,Часто,Задоволений,"Працюю в цій галузі, Пишу статі та інші матеріали",Задоволений,3
14,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 7,"Так, це має відношення до дисциплін, які я викладаю",Повністю не задоволений,Не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,14,Не забезпечує,Мені байдуже,іе,Рідко,Повністю не задоволений,Не вдосконалюю рівень своїх знань,Складно відповісти,5
9,2-3,спеціальні дисципліни,до 7,Ні,Складно відповісти,Складно відповісти,"знання для того, щоб займатися наукою",4-5,9,Частково забезпечує,Складно відповісти,кфм,Інколи,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали",Задоволений,10
5,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі",2-3,5,Частково забезпечує,Влаштовує,Электроснабжения,Завжди,Складно відповісти,"Працюю в цій галузі, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,9
18,1,базові дисципліни молодших курсів,до 7,Ні,Складно відповісти,Не стикався з бюрократією під час роботи,знання для використання на роботі,2-3,18,Складно відповісти,Влаштовує,ААЕ,Завжди,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,9
18,1,базові дисципліни молодших курсів,до 7,Ні,Складно відповісти,Не стикався з бюрократією під час роботи,знання для використання на роботі,2-3,18,Складно відповісти,Влаштовує,ААЕ,Завжди,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,9
21,2-3,спеціальні дисципліни,до 13,Ні,Повністю задоволений,Повністю влаштовує,знання для використання на роботі,4-5,21,Повністю забезпечує,Повністю влаштовує,Км,Завжди,Повністю задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,14
6,4-5,спеціальні дисципліни,до 17,"Так, це має відношення до дисциплін, які я викладаю",Повністю не задоволений,Не влаштовує,"відсрочку від армії, можливість жити в гуртожитку",2-3,6,Складно відповісти,Складно відповісти,КОТ,Рідко,Не задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами",Задоволений,14
5,1,спеціальні дисципліни,до 4,Ні,Повністю не задоволений,Повністю не влаштовує,знання для використання на роботі,2-3,5,Частково забезпечує,Не влаштовує,,Завжди,Складно відповісти,"Доповідаю на семінарах, тренінгах та онлайн-курсах, Читаю фахові видання",Задоволений,1
